tweet_id,agreement,num_labels,label,tweet_id,user_name,user_id,in_reply_to,retweet,friends,followers,status,verified,tweet,protected
564984221203431424,1.0,3,1,2.34e+17,iclies,125827765.0,None,1,181,180,3918,0, #PTI #ImranKhan @ImranKhanPTI #MissionImranKhanWaziristan Peace March!! end to drone killings. Yes to Polio vaccination.       ,0
564984308096438272,0.6666666666666666,3,0,5.73e+17,Zyto_,610831041.0,None,2,1520,474,12085,0, can I leave class early ? I need to grind mmr on heroes of the storm        ,0
564985199700611072,0.6666666666666666,3,1,3.67e+17,PLUGWORLD_15,301477058.0,None,0,1587,1582,65549,0, Living Good .. Feeling Way Better ... Me &amp; @kaos_mmr Turning Up Last Night  #GMF x #MMR @ Baru Lounge http://t.co/iSAkOaxoBT       ,0
564985637321703425,1.0,3,1,4.02e+17,DjSwillB,62138847.0,None,0,897,620,29753,0, my dawg said we gone be rich one day  @ #EazyBASH #MMR #TheCAMPAIGN http://t.co/o4Fmi2shsr       ,0
564986465822580736,1.0,3,1,3.43e+17,FactsLibrary,442036275.0,None,5,44243,0,1671,0, Sharks have the best immunity to diseases that are known to man and deadly diseases like cancer do not affect them at all.       ,0
564986607389114368,0.6666666666666666,3,0,4.75e+17,delaom,17593397.0,None,0,25,24,453,0," Vaccine-preventable diseases, such as pertussis, are making a comeback in the United States. Children die from these.       ",0
564987105953472512,0.6666666666666666,3,0,4.14e+17,DjSwillB,62138847.0,None,0,897,620,29753,0," wrap em BODYBAG, nigga im DOPE  #OGBobbyJohnson #EazyMix #MMR #GMF (go on soundcloud n search… http://t.co/QpdeWVVaJ1       ",0
564987429824630784,0.6666666666666666,3,1,5.7e+17,DawnGilbertson,55005867.0,CopyeditorDyer,1,6330,7157,9070,1,!! RT @CopyeditorDyer How about a measles discount? #Disneyland  #DisneyWorld raise prices http://t.co/5WgNQ0AN5V http://t.co/gAtLU9fvc3      ,0
564988138053857280,0.6666666666666666,3,0,5.57e+17,LEXercise,20601430.0,None,0,1333,486,211534,0,!!!!! RT @UberFacts: Hand-washing could save more lives worldwide than any vaccine  according to a study by the World Health Organization.      ,0
564989620786847744,0.6666666666666666,3,1,2.18e+17,urbanmafiamusic,63786756.0,None,0,62,278,373,0,# mmr is the movement       ,0
564990548654563328,0.6666666666666666,3,1,5.46e+17,AamilahVilchez,47144482.0,None,0,1463,110,37623,0,#2015 Over 40 #vaccines to your child ? Why? #Awake @ Asking Questions http://t.co/r2QzOwBnjh       ,0
564991540649803776,1.0,3,1,1.5e+17,mlockdizzle,173286978.0,None,0,115,101,7570,0,#40dollars can buy enough polio vaccines to immunize 200 children       ,0
564991688695767041,1.0,3,0,7.76e+17,aries4realz,2957693432.0,None,0,109,406,2490,0,#9month #checkuptime #immunizations @ South Bay Family Health Care https://t.co/LOnWoveZMD       ,0
